,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,2,0,0,5,0,0,364604749.4819951,143616748.3569317,146000000.0,0.0,0.2382820693890801
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,7,1,0,6,1,5,10,2,4,7,0,0,0.0,371855263.31849694,30700000.0,0.0,0.0
2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,5,6,5,3,4,0,0,93078676.85801123,205773910.34284145,199900000.0,3284.9580472563507,0.009756995533385368
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,3,1,4,6,1,3,4,0,0,342479380.43971467,231376995.36801255,0.0,8002.141759732644,0.029967415389602757
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,0,4,0,0,4,0,5,5,1,1,3,0,0,281378904.64373535,252830841.14886677,30700000.0,8632.912610123945,0.029246067147047614
5,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,6,0,0,7,1,2,3,1,0,4,0,0,15082413.476328759,203774455.40890265,473000000.0,295.26173639083925,0.0010000650351989055
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,7,7,2,0,7,3,3,10,4,0,7,2,0,0.0,493566416.2030806,0.0,0.0,0.0
7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,2,6,1,1,0,0,421213168.527179,116543876.96749716,199900000.0,9151.154195104435,0.10004955245047535
8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,0,0,0,0,0,1,5,1,3,0,1,3,4,0,374445786.8818383,205476035.4074225,61400000.0,15235.318657752698,0.02943404669836706
9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,1,2,0,0,0,0,530837595.01125515,66714591.61895543,199900000.0,22128.86488473892,0.04157907047524085
10,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,4,0,0,5,1,0,4,2,1,5,0,0,17627191.20037155,168661019.57156324,654200000.0,587.4581220666182,0.0018276348949328007
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,0,0,0,0,1925006902.995358,100790443.10402139,0.0,0.0,1.1127745062271048
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,7,0,0,7,0,2,5,2,0,7,3,0,1709067.9098230535,355575168.5956068,84600000.0,39.051401230803805,0.0002670323375617001
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,3,2,0,0,0,3795696812.2249327,90084884.20404795,0.0,0.0,2.0712996770895558
14,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,3,3,0,0,3,0,0,4,0,1,4,5,0,4,0,0,16315444.105646076,195490259.73965204,600300000.0,669.4843049328508,0.0013724542062015753
15,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,2371533596.423708,42655500.45207374,146000000.0,19962.127644632237,0.17068503336680224
16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,7,7,0,6,0,0,7,3,0,4,6,0,7,0,0,3865422.567576709,353512688.0869849,61400000.0,90.85691408605832,0.0005859629489719065
17,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,7,0,1,3,1,0,4,0,0,43600373.36007693,194778598.83721107,508200000.0,0.0,0.029943606708794517
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,7,2,0,6,1,3,7,3,0,4981269.038738218,284211142.7008085,84600000.0,96.9156594063088,0.001339583103255037
19,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,1186829010.4709678,79075996.10451578,176700000.0,13370.277274585898,0.22350631061751294
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3993457773.5525603,36784490.450139485,0.0,0.0,1.9676927205561694
21,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,7,0,0,4,5,1,2,0,0,986711617.9320736,125403595.43732163,176700000.0,12964.040160102284,0.05890033753993519
22,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,6,2,0,0,0,0,0,518413007.74478257,81022383.59260967,213300000.0,8391.788784362216,0.11412247545491289
23,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0,3,5,1,2,1,0,37365400.140222505,150338388.99331892,945200000.0,0.0,0.02615385640202241
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,7,2,4,4,2,0,5,0,0,59252660.79939446,266645637.6613707,0.0,0.0,0.037707842502992216
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,4104306194.185446,39642595.51689799,0.0,18843.034497780656,0.7575162804784716
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,5,0,0,0,0,2680651201.17436,61461740.781191155,30700000.0,29752.405385070895,0.728712186312289
27,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,7,5,0,0,0,0,0,522840355.08178383,73117747.58762763,199900000.0,10506.032485120855,0.12379491551256629
28,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,2,0,143086442.74186233,101926758.3100362,577200000.0,0.0,0.08676583584496479
29,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2371533596.423708,15173808.632728375,146000000.0,0.0,1.1379002224453483
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,7,2,0,4,2,3,5,3,0,12720558.855991738,297455697.56951,0.0,0.0,0.00803725137202914
